0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:34 -0700] "GET /MoivePredictions/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:34 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:12 -0700] "GET /MoivePredictions/shows.html HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:32 -0700] "GET /MoivePredictions/ HTTP/1.1" 200 67973
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:32 -0700] "GET /MoivePredictions/assets/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:32 -0700] "GET /MoivePredictions/assets/css/dashboard.css HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:32 -0700] "GET /MoivePredictions/assets/css/style.css HTTP/1.1" 200 50805
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:32 -0700] "GET /MoivePredictions/assets/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:32 -0700] "GET /MoivePredictions/assets/js/modernizr.custom.min.js HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:32 -0700] "GET /MoivePredictions/assets/css/popuo-box.css HTTP/1.1" 200 18054
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:33 -0700] "GET /MoivePredictions/assets/js/jquery.magnific-popup.js HTTP/1.1" 200 45732
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:33 -0700] "GET /MoivePredictions/assets/images/t1.jpg HTTP/1.1" 200 302933
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:33 -0700] "GET /MoivePredictions/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:33 -0700] "GET /MoivePredictions/assets/images/t2.jpg HTTP/1.1" 200 149543
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:33 -0700] "GET /MoivePredictions/assets/images/c.jpg HTTP/1.1" 200 27874
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:33 -0700] "GET /MoivePredictions/assets/images/t3.jpg HTTP/1.1" 200 151588
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:49:33 -0700] "GET /MoivePredictions/assets/images/c3.jpg HTTP/1.1" 200 23381
