0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking/struts/css_xhtml/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking//ckeditor/samples/js/sample.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking//ckeditor/samples/css/samples.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking//ckeditor/samples/toolbarconfigurator/lib/codemirror/neo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:39 -0800] "GET /Intern-Tracking/checkexamresult.action?dataa=&que=29&ua29=d&ca29=String%2C&que=30&ua30=a&ca30=&que=31&ua31=d&ca31=034%2C&que=27&ua27=d&ca27=%24_myvar%2C&que=28&ua28=a&ca28=String%2C HTTP/1.1" 500 6264
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking//attemptExam.action?exam_id=21 HTTP/1.1" 200 12856
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking/struts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking/struts/dojo/struts_dojo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking/struts/xhtml/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking/struts/ajax/dojoRequire.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking/struts/css_xhtml/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:28 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:37:47 -0800] "GET /Intern-Tracking/checkexamresult.action?dataa=&que=29&ua29=a&ca29=String%2C&que=30&ua30=d&ca30=&que=31&ua31=d&ca31=034%2C&que=27&ua27=d&ca27=%24_myvar%2C&que=28&ua28=a&ca28=String%2C HTTP/1.1" 500 6264
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:15 -0800] "GET /Intern-Tracking//AllViewExam.action HTTP/1.1" 200 3930
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking//attemptExam.action?exam_id=6 HTTP/1.1" 200 12329
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking/struts/dojo/struts_dojo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking/struts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking/struts/ajax/dojoRequire.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking/struts/css_xhtml/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:41:18 -0800] "GET /Intern-Tracking/struts/xhtml/validation.js HTTP/1.1" 304 -
