what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1463477175896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1463477185537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477186613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477191699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1463477195427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477199296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477200512
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1463477200528
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477200606
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477200637
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463477219546
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477219546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1463477229731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477230418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477231572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1463477234520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1463477241337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477247655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477248591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1463477251789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477373543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477375368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477375509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477377287
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1463477377303
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477377412
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477377443
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463477418395
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477463244
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463477475942
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477477689
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463477483009
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1463477493289
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1463477493507
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1463477493554
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477597509
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1463477602111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477602875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477604014
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477604107
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1463477604107
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463477605855
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477605855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477618447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477619508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477619633
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477620865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477620881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477621973
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1463477621973
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1463477622020
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477627048
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477627079
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463477656076
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463477656076
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1463477657176
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463477657363
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1463477658299
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463477658549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463477670514
