what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484848670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484851853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484852757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484853054
error,log,,,"Could not delete D:\\paridhi_lapalikar\\project\\.metadata\\.plugins\\org.eclipse.wst.server.core\\tmp0\\wtpwebapps\\project\\WEB-INF\\lib\\struts2-core-2.0.11.jar. May be locked by another process.",1463484853085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484854068
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.stop",1463484855706
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1463484859344
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463484864790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484867956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484868986
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1463484869002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484873652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484874775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484874791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484876039
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1463484876055
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1463484876086
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463484881130
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463484881176
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1463484927187
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1463484927467
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1463484927499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1463484931648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1463484932927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1463484933364
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1463484934830
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463484937046
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1463484937513
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463484937513
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1463484940593
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463484940780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484943495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484944867
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1463484944883
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463484945054
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463484945086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463484983110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463485021843
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1463485023466
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1463485023466
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1463485024272
